zona_key;operator_key;zona_x;zona_y;mcc;mnc;rsrp_avg;pocet_merani;najcastejsia_frekvencia;zona_stred_x;zona_stred_y;longitude;latitude;rsrp_kategoria;zone_wkt
-233100.0_-1222300.0;231.0_6.0;-233100.0;-1222300.0;231.0;6.0;-98.60672727272727;110;796000000;-233050.0;-1222250.0;21.65206825565636;48.88791256253066;RSRP_GOOD;POLYGON ((-233000 -1222300, -233000 -1222200, -233100 -1222200, -233100 -1222300, -233000 -1222300))
-233100.0_-1222400.0;200.0_10.0;-233100.0;-1222400.0;200.0;10.0;-120.24000000000001;3;3422500000;-233050.0;-1222350.0;21.652124823076377;48.88701405948138;RSRP_BAD;POLYGON ((-233000 -1222400, -233000 -1222300, -233100 -1222300, -233100 -1222400, -233000 -1222400))
-233100.0_-1222400.0;231.0_1.0;-233100.0;-1222400.0;231.0;1.0;-102.4321052631579;19;806000000;-233050.0;-1222350.0;21.652124823076377;48.88701405948138;RSRP_GOOD;POLYGON ((-233000 -1222400, -233000 -1222300, -233100 -1222300, -233100 -1222400, -233000 -1222400))
-233100.0_-1222400.0;231.0_3.0;-233100.0;-1222400.0;231.0;3.0;-116.05896551724138;29;1837500000;-233050.0;-1222350.0;21.652124823076377;48.88701405948138;RSRP_BAD;POLYGON ((-233000 -1222400, -233000 -1222300, -233100 -1222300, -233100 -1222400, -233000 -1222400))
-233100.0_-1222400.0;231.0_6.0;-233100.0;-1222400.0;231.0;6.0;-101.14631578947369;57;3519800000;-233050.0;-1222350.0;21.652124823076377;48.88701405948138;RSRP_GOOD;POLYGON ((-233000 -1222400, -233000 -1222300, -233100 -1222300, -233100 -1222400, -233000 -1222400))
-233200.0_-1222100.0;200.0_10.0;-233200.0;-1222100.0;200.0;10.0;-120.37;1;3422500000;-233150.0;-1222050.0;21.65059256432215;48.88967225446068;RSRP_BAD;POLYGON ((-233100 -1222100, -233100 -1222000, -233200 -1222000, -233200 -1222100, -233100 -1222100))
-233200.0_-1222100.0;231.0_1.0;-233200.0;-1222100.0;231.0;1.0;-95.24000000000001;35;2115000000;-233150.0;-1222050.0;21.65059256432215;48.88967225446068;RSRP_GOOD;POLYGON ((-233100 -1222100, -233100 -1222000, -233200 -1222000, -233200 -1222100, -233100 -1222100))
-233200.0_-1222100.0;231.0_3.0;-233200.0;-1222100.0;231.0;3.0;-110.8345;20;1837500000;-233150.0;-1222050.0;21.65059256432215;48.88967225446068;RSRP_BAD;POLYGON ((-233100 -1222100, -233100 -1222000, -233200 -1222000, -233200 -1222100, -233100 -1222100))
-233200.0_-1222100.0;231.0_6.0;-233200.0;-1222100.0;231.0;6.0;-96.72425000000001;40;763000000;-233150.0;-1222050.0;21.65059256432215;48.88967225446068;RSRP_GOOD;POLYGON ((-233100 -1222100, -233100 -1222000, -233200 -1222000, -233200 -1222100, -233100 -1222100))
-233200.0_-1222200.0;200.0_10.0;-233200.0;-1222200.0;200.0;10.0;-118.83666666666666;3;3422500000;-233150.0;-1222150.0;21.650649159903924;48.88877375261987;RSRP_BAD;POLYGON ((-233100 -1222200, -233100 -1222100, -233200 -1222100, -233200 -1222200, -233100 -1222200))
-233200.0_-1222200.0;231.0_1.0;-233200.0;-1222200.0;231.0;1.0;-97.09493670886076;79;806000000;-233150.0;-1222150.0;21.650649159903924;48.88877375261987;RSRP_GOOD;POLYGON ((-233100 -1222200, -233100 -1222100, -233200 -1222100, -233200 -1222200, -233100 -1222200))
-233200.0_-1222200.0;231.0_3.0;-233200.0;-1222200.0;231.0;3.0;-110.7856862745098;51;1837500000;-233150.0;-1222150.0;21.650649159903924;48.88877375261987;RSRP_BAD;POLYGON ((-233100 -1222200, -233100 -1222100, -233200 -1222100, -233200 -1222200, -233100 -1222200))
-233200.0_-1222200.0;231.0_6.0;-233200.0;-1222200.0;231.0;6.0;-97.43253846153846;130;773000000;-233150.0;-1222150.0;21.650649159903924;48.88877375261987;RSRP_GOOD;POLYGON ((-233100 -1222200, -233100 -1222100, -233200 -1222100, -233200 -1222200, -233100 -1222200))
-233300.0_-1222000.0;200.0_10.0;-233300.0;-1222000.0;200.0;10.0;-121.83;2;3422500000;-233250.0;-1221950.0;21.649173394009505;48.89053342609001;RSRP_BAD;POLYGON ((-233200 -1222000, -233200 -1221900, -233300 -1221900, -233300 -1222000, -233200 -1222000))
-233300.0_-1222000.0;231.0_1.0;-233300.0;-1222000.0;231.0;1.0;-94.56770491803279;61;806000000;-233250.0;-1221950.0;21.649173394009505;48.89053342609001;RSRP_GOOD;POLYGON ((-233200 -1222000, -233200 -1221900, -233300 -1221900, -233300 -1222000, -233200 -1222000))
-233300.0_-1222000.0;231.0_3.0;-233300.0;-1222000.0;231.0;3.0;-112.34115384615384;26;1837500000;-233250.0;-1221950.0;21.649173394009505;48.89053342609001;RSRP_BAD;POLYGON ((-233200 -1222000, -233200 -1221900, -233300 -1221900, -233300 -1222000, -233200 -1222000))
-233300.0_-1222000.0;231.0_6.0;-233300.0;-1222000.0;231.0;6.0;-95.96037037037037;81;773000000;-233250.0;-1221950.0;21.649173394009505;48.89053342609001;RSRP_GOOD;POLYGON ((-233200 -1222000, -233200 -1221900, -233300 -1221900, -233300 -1222000, -233200 -1222000))
-233300.0_-1222100.0;200.0_10.0;-233300.0;-1222100.0;200.0;10.0;-120.85666666666667;3;3422500000;-233250.0;-1222050.0;21.64923001576962;48.889634925171535;RSRP_BAD;POLYGON ((-233200 -1222100, -233200 -1222000, -233300 -1222000, -233300 -1222100, -233200 -1222100))
-233300.0_-1222100.0;231.0_1.0;-233300.0;-1222100.0;231.0;1.0;-94.76166666666667;36;806000000;-233250.0;-1222050.0;21.64923001576962;48.889634925171535;RSRP_GOOD;POLYGON ((-233200 -1222100, -233200 -1222000, -233300 -1222000, -233300 -1222100, -233200 -1222100))
-233300.0_-1222100.0;231.0_3.0;-233300.0;-1222100.0;231.0;3.0;-104.08888888888889;36;1837500000;-233250.0;-1222050.0;21.64923001576962;48.889634925171535;RSRP_GOOD;POLYGON ((-233200 -1222100, -233200 -1222000, -233300 -1222000, -233300 -1222100, -233200 -1222100))
-233300.0_-1222100.0;231.0_6.0;-233300.0;-1222100.0;231.0;6.0;-98.21847222222223;72;796000000;-233250.0;-1222050.0;21.64923001576962;48.889634925171535;RSRP_GOOD;POLYGON ((-233200 -1222100, -233200 -1222000, -233300 -1222000, -233300 -1222100, -233200 -1222100))
-233400.0_-1221800.0;200.0_10.0;-233400.0;-1221800.0;200.0;10.0;-129.48;1;3422500000;-233350.0;-1221750.0;21.64769752538352;48.892293079888496;RSRP_BAD;POLYGON ((-233300 -1221800, -233300 -1221700, -233400 -1221700, -233400 -1221800, -233300 -1221800))
-233400.0_-1221800.0;231.0_1.0;-233400.0;-1221800.0;231.0;1.0;-102.39200000000001;5;2115000000;-233350.0;-1221750.0;21.64769752538352;48.892293079888496;RSRP_GOOD;POLYGON ((-233300 -1221800, -233300 -1221700, -233400 -1221700, -233400 -1221800, -233300 -1221800))
-233400.0_-1221800.0;231.0_3.0;-233400.0;-1221800.0;231.0;3.0;-104.12875000000001;24;1837500000;-233350.0;-1221750.0;21.64769752538352;48.892293079888496;RSRP_GOOD;POLYGON ((-233300 -1221800, -233300 -1221700, -233400 -1221700, -233400 -1221800, -233300 -1221800))
-233400.0_-1221800.0;231.0_6.0;-233400.0;-1221800.0;231.0;6.0;-102.78972972972973;37;1872500000;-233350.0;-1221750.0;21.64769752538352;48.892293079888496;RSRP_GOOD;POLYGON ((-233300 -1221800, -233300 -1221700, -233400 -1221700, -233400 -1221800, -233300 -1221800))
-233400.0_-1221900.0;200.0_10.0;-233400.0;-1221900.0;200.0;10.0;-129.48;1;3422500000;-233350.0;-1221850.0;21.647754175311633;48.891394580180226;RSRP_BAD;POLYGON ((-233300 -1221900, -233300 -1221800, -233400 -1221800, -233400 -1221900, -233300 -1221900))
